English,German
English: None,Keine
English: Preview,Vorschau
English: Password,Kennwort
English: Delete,Löschen
English: Custom,Benutzerdefiniert
English: Description,Beschreibung
English: Clear,Löschen
English: Permissions,Berechtigungen
English: (Blanks),(Leerzeichen)
English: Document Map,Dokumentenübersicht
English: is a serial date number that represents the start date,"ist die fortlaufende Zahl, die das Ausgangsdatum angibt"
English: Zoom out to see more of the page at a reduced size.,"Verkleinerte Darstellung, zu Einsicht der gesamten Seite"
English: Cancel,Abbrechen
English: Previous,Vorherige
English: Next,Weiter
English: Search,Suche
English: Expand,Erweitern
English: Collapse,Reduzieren
English: Checked,Ausgewählt
English: Line Style,Linienstil
English: Recurrence,Wiederholung
English: Solid,Durchgehend
English: Enter text to search...,Suchtext eingeben...
English: Start,Starten
English: Clear All,Alle löschen
English: Best Fit,Optimale Spaltenbreite
English: Separator,Trennlinie
English: Grid,Tabelle
English: Ungroup,Gruppierung aufheben
English: Links,Links
English: is the value you want to test. Value can refer to a cell,"ist der Wert,  der geprüft werden soll. Der Wert kann sich auf Zelle, eine Formel oder einen Namen beziehen."
English: Zoom in to get a close-up view of the document.,"Vergrößern des Dokumentes, zur besseren Detailansicht."
English: (Non blanks),(keine Leerfelder)
English: Close,Schließen
English: Edit,Bearbeiten
English: Appearance,Aussehen
English: Top,Oben
English: Bottom,Unten
English: Size,Größe
English: General,Allgemein
English: Alignment,Ausrichtung
English: Location,Ort
English: Series,Serie
English: Page Setup,Seite einrichten
English: Column,Spalte
English: Tools,Werkzeuge
English: Font Style,Schriftart
English: Style,Stil
English: rate,Rate
English: Stretch,Strecken
English: is the security's settlement date expressed as a serial date number, ist der Abrechnungstermin des Wertpapierkaufs als fortlaufende Zahl angegeben
English: Design,Design
English: Select All,Alles auswählen
English: Print Preview,Druckvorschau
English: Location:,Ort:
English: Clear Filter,Filter entfernen
English: Filter Editor,Filter bearbeiten
English: Unchecked,Deaktiviert
English: Up,Aufwärts
English: Down,Abwärts
English: First,Erster
English: Indent,Einzug
English: Last Month,Letzter Monat
English: Reverse,Umkehren
English: Finish,Beenden
English: Size Mode,Größenänderungsmodus
English: Equals,Gleiche
English: This month,In diesem Monat
English: Picture,Bild
English: Start time,Startzeit
English: of every,von jedem
English: Float,Freigeben
English: Dock,Anhängen
English: Expression Editor...,Ausdrucks-Editor...
English: Paper size,Papierformat
English: Bottom Center,Unten zentriert
English: Max Value,Max-Wert
English: Min Value,Min-Wert
English: Start:,Start
English: The specified expression contains invalid symbols (line {0} character {1}).,Der angegebene Ausdruck enthält ungültige Zeichen Zeichen {1}).
English: Captions,Beschriftungen
English: Merge cells before split,Zellen vor dem Teilen zusammenführen
English: Quick Print,Sofort drucken
English: Find Next,Nächste suchen
English: Reference,Referenz
English: Tabs...,Tabs...
English: Wrap text,Text umbrechen
English: All day event,Ganztägiges Ereignis
English: Continue a pattern into one or more adjacent cells.,Setzen Sie ein Muster in einer oder mehreren benachbarten Zellen fort.
English: Custom AutoFilter,Benutzerdefinierter AutoFilter
English: Font style:,Schriftart:
English: Name,Name
English: Criteria,Kriterien
English: number,Zahl
English: Default,Standard
English: Center,Zentrieren
English: Print,Drucken
English: User Name,Benutzername
English: Save,Speichern
English: Layout,Layout
English: Navigate,Navigieren
English: Type,Typ
English: Count,Anzahl
English: Create,Erstellen
English: Apply,Anwenden
English: State,Status
English: Argument,Argument
English: Margins,Seitenränder
English: Orientation,Ausrichtung
English: Underline,Unterstreichen
English: Sum,Summe
English: Insert,Einfügen
English: Find,Suchen
English: Change Password On First Logon,Passwort ändern bei der ersten Anmeldung
English: Undo,Rückgängig
English: Page,Seite
English: Redo,Wiederholen
English: Average,Durchschnitt
English: Number,Nummer
English: Line,Zeile
English: Filter,Filter
English: Date,Datum
English: Footer,Fußzeile
English: Rule Base Properties,Regel Basis Eigenschaften
English: Found Object Message Format,Gefundene Objekt Nachrichten Format
English: (none),(keine)
English: Header,Kopfzeile
English: Outside,Außerhalb
English: No,Nein
English: Labels,Beschriftungen
English: Field Name, Feldname
English: Double,Doppelt
English: Common,Gemeinsame
English: Reports,Reporte
English: Loading...,Lädt...
English: DateTime,DatumZeit
English: Descending,Absteigend
English: Trend,Trend
English: &Add,&Hinzufügen
English: Column Chooser,Spaltenauswahl
English: Justify,Ausrichten
English: Area,Bereich
English: Scale,Skalieren
English: Fill,Füllen
English: Hidden,Ausgeblendet
English: Bar,Balken
English: String,String
English: Value Level,Wertlevel
English: Hide,Ausblenden
English: Rule Search Object Properties,Regel Suche Objekt Eigenschaften
English: Actions,Aktionen
English: Customize the borders of the selected cells.,Passen Sie die Ränder der ausgewählten Zellen an.
English: Last,Letzter
English: Subject:,Betreff:
English: Filter String,String filtern
English: About,Info
English: is the range of cells that makes up the list or database. A database is a list of related data,ist der Zellbereich aus dem die Datenbank besteht
English: Customization,Anpassung
English: Next Month,Nächsten Monat
English: Hyperlink,Hyperlink
English: Tag,Tag
English: Status Bar,Statusleiste
English: Medium,Medium
English: &Apply,&Anwenden
English: Sort,Sortieren
English: Both,Beide
English: Numeric,Numerisch
English: Collapse All,Alles zuklappen
English: Created:,Erstellt:
English: Indeterminate,Unbestimmt
English: Background,Hintergrund
English: Median,Median
English: Next week,Nächste Woche
English: &Password:,&Kennwort:
English: Actions Toolbar Visibility,Sichtbarkeit der Aktionssymbolleiste
English: Field List,Feldliste
English: Avg,Durchschnitt
English: month(s),Monat(e)
English: Special,Spezial
English: Format String,Format String 
English: Last week,Letzte Woche
English: PDF File,PDF-Datei
English: Image File,Bilddatei
English: XLSX File,XLSX Datei
English: Highlight,Markieren
English: is a parameter to the distribution a positive number,ist ein Parameter der Verteilung eine positive Zahl
English: Grand Total,Gesamtsumme
English: Submit,Bestätigen
English: Full Screen,Vollbild
English: Different first page,Unterschiedliche erste Seite
English: No Border,Kein Rahmen
English: Constant Lines,Konstante Linien
English: Print Preview...,Druckvorschau...
English: Import,Importieren
English: Next month,Nächsten Monat
English: Expression Editor,Ausdruck bearbeiten
English: Link,Verknüpfen
English: Property Name,Eigenschaftsname
English: Start date,Startdatum
English: Max Line Count,Max Anzahl der Zeilen
English: Current section,Aktueller Abschnitt
English: Open a document.,Öffnen Sie ein Dokument.
English: Top Center,Oben zentriert
English: Page Number,Seitenzahl
English: Tickmarks,Häkchen
English: Below,Unter
English: Financial,Finanzielle
English: More,Weitere
English: Duplicate,Duplizieren
English: <enter a value>,<Wert eingeben>
English: Last month,Letzten Monat
English: Text File,Textdatei
English: CSV File,CSV-Datei
English: MHT File,MHT-Datei
English: XLS File,XLS-Datei
English: RTF File,RTF-Datei
English: Export mode:,Exportmodus:
English: Save As...,Speichern unter...
English: Control,Steuerung
English: Font...,Schriftart...
English: is the denominator degrees of freedom a number between 1 and 10^10 excluding 10^10,ist die Anzahl der Freiheitsgrade im Nenner eine Zahl größer oder gleich 1 und kleiner als 10^10
English: is a logical value: for the cumulative distribution function use TRUE; for the probability density function use FALSE,ist ein Wahrheitswert: für die kumulierte Verteilungsfunktion WAHR; für die Wahrscheinlichkeitsdichtefunktion FALSCH
English: is the security's issue date expressed as a serial date number,ist das Datum der Wertpapieremission  als fortlaufende Zahl angegeben
English: Gradient Fill,Farbverlauf
English: Icon Sets,Symbolsätze
English: Sort Fields,Sortierfelder
English: Choose where you want the PivotTable report to be placed,Legen Sie fest wo der PivotTable-Bericht platziert werden soll.
English: Drag a column header here to group by that column,Ziehen Sie eine Spaltenüberschrift hierher um nach dieser Spalte zu gruppieren
English: Document Views,Dokumentansichten
English: Middle Center,Mitte zentriert
English: Undo the last operation.,Letzte Aktion rückgängig machen
English: Change the font size.,Schriftgröße ändern.
English: Rotated,Gedreht
English: Fibonacci Arcs,Fibonacci Bögen
English: A Date Occurring,Ein Datum auftritt
English: StdDev,StdDev
English: Var,Var
English: Above,Über
English: Align Center,Zentrieren
English: Smart,Smart
English: DOCX File,DOCX Datei
English: Stop,Stopp
English: Send the document directly to the default printer without making changes.,Senden Sie das Dokument ohne Änderungen direkt an den Standarddrucker.
English: Scope,Bereich
English: Is greater than or equal to,ist größer oder gleich als
English: Is less than or equal to,ist kleiner oder gleich als
English: Data Source Wizard,Datenquellen-Assistant
English: Paste the contents of the Clipboard.,Fügen Sie den Inhalt der Zwischenablage ein.
English: Graphics Interchange Format,Graphics Interchange Format
English: Clear Grouping,Gruppierung aufheben
English: Hidden Items,Versteckte Elemente
English: Fore Color,Vordergrundfarbe
English: Right Arrow,Pfeil nach rechts
English: Table Tools,Tabellenwerkzeuge
English: Review,Überprüfen
English: is the interest rate per period. For example use 6%/4 for quarterly payments at 6% APR,ist der Zinssatz pro Periode (Zahlungszeitraum) Z.B. verwenden Sie 6%/4 für Quartalszahlungen von 6%
English: is the value to test,ist der zu prüfende Wert
English: Box,Box
English: Every,Alle
English: Report Wizard,Berichts-Assistant
English: Misc,Sonstiges
English: Hanging,Hängend
English: Save the document.,Das Dokument speichern.
English: Redo the last operation.,Wiederholt die letzte Aktion.
English: Underline the selected text.,Den markierten Text unterstreichen.
English: Bottom Border,Unterer Rand
English: Top Border,Oberer Rand
English: Left Border,Rand links
English: Right Border,Rand rechts
English: All Borders,Alle Ränder
English: Merge the selected cells into one cell.,Die ausgewählten Zellen in einer Zelle zusammenführen.
English: Default Pane,Standardbereich
English: Clip,Abschneiden
English: Does not contain,enthält nicht
English: Starts with,Beginnt mit
English: Plain Text,Normaler Text
English: HTML File,HTML Datei
English: Toolbox,Werkzeugkasten
English: Align Right,Rechtsbündig ausrichten
English: Auto Hide,Auto verbergen
English: Other,Sonstiges
English: Change the font face.,Schriftart ändern.
English: Different Files,Unterschiedliche Dateien
English: Proofing,Prüfung
